date,open,high,low,close,volume
2025-07-14,86.45,87.3495,85.70,87.10,2598965
2025-07-15,84.45,86.575,84.25,86.30,3031709
2025-07-16,85.80,93.40,85.35,87.20,5681655
2025-07-17,86.80,87.40,85.875,86.85,2082302
2025-07-18,85.25,86.50,84.80,84.90,2700745
2025-07-21,83.70,84.20,81.55,83.95,2688960
2025-07-22,83.55,86.75,83.15,83.60,3067616
2025-07-23,81.70,82.825,78.2735,78.55,4412441
2025-07-24,77.75,78.50,76.75,78.10,2855283
2025-07-25,78.30,78.65,76.80,77.15,3222723
2025-07-28,74.65,75.595,73.80,73.95,4024944
2025-07-29,72.60,77.10,72.0005,76.50,4785405
2025-07-30,76.00,78.85,74.90,77.10,5874582
2025-07-31,74.70,78.15,73.7005,77.20,5998215
2025-08-01,82.95,89.65,82.80,86.95,13146767
2025-08-04,83.35,83.475,78.00,78.00,4184890
2025-08-05,77.70,82.70,77.50,79.30,3963951
2025-08-06,79.00,79.825,75.2605,75.40,3575645
2025-08-07,73.90,78.10,73.55,76.20,3658089
2025-08-08,74.50,74.825,72.35,72.45,3976811
2025-08-11,72.10,73.50,71.30,72.80,2560108
2025-08-12,70.95,71.10,68.05,68.30,5314403
2025-08-13,66.80,68.35,66.70,67.50,3221219
2025-08-14,69.525,69.85,67.40,67.95,4127807
2025-08-15,67.30,68.50,67.00,67.60,4817821
2025-08-18,67.45,67.50,64.325,65.10,4755356
2025-08-19,64.15,67.588,64.00,66.95,5270263
2025-08-20,67.325,70.35,66.2725,66.70,6548543
2025-08-21,68.00,69.65,67.10,68.05,3870480
2025-08-22,67.65,67.7495,59.55,59.55,7376794
2025-08-25,60.60,61.15,59.35,59.95,2525843
2025-08-26,60.55,60.70,59.20,59.25,2075894
2025-08-27,59.625,60.80,59.175,59.50,2708419
2025-08-28,58.45,59.70,58.121,58.45,3023250
2025-08-29,58.40,61.075,57.85,60.30,4997664
2025-09-02,65.00,66.90,63.00,63.05,7868341
2025-09-03,62.50,62.725,60.60,60.65,4378598
2025-09-04,60.15,60.325,57.85,58.00,3567003
2025-09-05,55.90,60.65,55.80,58.175,6486949
2025-09-08,57.375,57.579,56.30,56.60,3558636
2025-09-09,56.90,58.025,56.00,56.20,3518033
2025-09-10,55.05,56.375,54.75,55.55,4996327
2025-09-11,54.35,54.80,53.65,53.70,3662616
2025-09-12,53.70,53.95,52.75,53.55,2724232
2025-09-15,52.75,54.70,52.6005,54.40,4425659
2025-09-16,54.50,55.95,54.45,55.75,4717164
2025-09-17,55.15,55.30,51.55,52.75,8029344
2025-09-18,51.45,52.85,51.25,52.70,4424483
2025-09-19,51.90,53.70,51.90,52.55,3849970
2025-09-22,53.25,54.075,52.55,53.95,3928965
2025-09-23,53.60,56.25,53.5515,54.80,7512598
2025-09-24,54.35,56.40,53.85,53.85,4318984
2025-09-25,55.65,56.50,53.25,55.05,7733444
2025-09-26,54.15,55.475,51.60,51.70,4924917
2025-09-29,51.35,53.20,51.20,52.40,4131348
2025-09-30,53.10,53.40,51.95,52.20,3098751
2025-10-01,53.05,53.125,51.6005,51.95,3193603
2025-10-02,51.55,53.10,51.45,53.00,3901590
2025-10-03,52.45,53.60,52.15,52.50,3650622
2025-10-06,52.00,53.15,51.85,52.10,3001562
2025-10-07,51.90,54.35,51.601,53.70,5520791
2025-10-08,53.25,53.825,52.15,52.25,3351325
2025-10-09,52.00,53.80,51.75,52.45,4923458
2025-10-10,52.50,63.45,51.90,62.45,29043482
2025-10-13,57.50,58.00,54.80,55.55,7352042
2025-10-14,60.30,63.00,56.25,58.95,9357616
2025-10-15,56.75,62.20,56.155,59.75,7872686
2025-10-16,59.20,69.10,58.80,68.75,14542435
2025-10-17,66.70,70.60,60.45,60.50,12837669
2025-10-20,57.90,58.00,53.05,53.35,5693614
2025-10-21,54.075,55.50,52.15,52.80,4960003
2025-10-22,53.20,58.15,52.728,53.85,12164648
2025-10-23,54.30,54.70,52.00,52.20,5143771
2025-10-24,50.15,51.60,49.95,51.00,4808088
2025-10-27,48.80,49.55,48.2505,48.65,4349333
2025-10-28,48.75,50.85,48.55,50.60,5191280
2025-10-29,50.15,52.20,49.306,52.05,8047530
2025-10-30,51.675,53.00,50.35,52.95,7051979
2025-10-31,51.05,54.80,50.9165,53.05,6630337
2025-11-03,52.40,54.85,51.85,52.50,5097091
2025-11-04,55.55,56.25,53.35,55.10,9997107
2025-11-05,55.35,55.625,51.25,52.20,6205612
2025-11-06,52.80,56.60,52.30,55.50,11772555
2025-11-07,57.775,60.35,54.70,54.85,10701010
2025-11-10,51.50,52.05,50.05,50.35,6431468
2025-11-11,50.50,50.65,49.75,49.95,2787377
2025-11-12,49.50,51.40,49.50,50.55,4033223
2025-11-13,51.45,57.00,50.70,55.75,11096526
2025-11-14,58.30,59.50,52.75,54.15,10512419
2025-11-17,55.50,59.606,53.50,58.50,9380381
2025-11-18,60.85,63.8495,58.35,61.10,13911547
2025-11-19,61.20,62.3995,57.10,59.30,8138998
2025-11-20,53.52,66.39,52.81,65.65,15935401
2025-11-21,63.14,68.4763,59.47,60.63,13611240
2025-11-24,59.00,59.33,53.85,53.85,9691434
2025-11-25,54.05,57.08,51.41,51.70,8096151
2025-11-26,50.78,51.03,49.01,49.49,8514462
2025-11-28,49.22,49.28,47.59,47.59,3862536
2025-12-01,49.41,49.4938,46.85,47.85,8258789
2025-12-02,47.08,47.84,46.60,46.75,8150520
2025-12-03,47.61,47.79,46.16,46.43,6160877
2025-12-04,45.86,46.90,45.55,45.66,6654854
2025-12-05,45.39,45.865,44.75,44.76,7079154
2025-12-08,44.67,46.58,44.66,45.70,7999475
2025-12-09,45.95,46.25,44.9837,45.92,6489133
2025-12-10,46.205,46.67,42.97,43.14,12377757
2025-12-11,43.79,45.115,42.09,42.21,10243830
2025-12-12,41.76,45.19,41.33,42.28,14623826
2025-12-15,41.59,43.76,41.43,42.22,9583343
2025-12-16,42.57,43.66,41.66,42.09,11821740
2025-12-17,41.78,43.39,41.155,43.25,11122044
2025-12-18,41.65,42.55,40.60,41.08,10864505
2025-12-19,40.40,40.45,38.525,38.66,6814344
2025-12-22,37.54,37.8356,36.67,36.80,5383743
2025-12-23,37.08,37.16,36.605,36.98,4483059
2025-12-24,36.77,37.07,36.53,36.89,2139958
2025-12-26,36.57,37.4652,36.53,36.76,3478630
2025-12-29,37.28,37.29,35.67,36.12,5015811
2025-12-30,35.94,35.94,35.10,35.42,4010025
2025-12-31,35.35,36.075,34.95,35.93,5205256
2026-01-02,34.86,35.835,34.64,34.97,6229738
2026-01-05,34.55,35.46,34.28,35.46,5397647
2026-01-06,35.42,35.46,34.617,34.73,5104185
2026-01-07,34.99,35.93,34.99,35.58,5587615
2026-01-08,35.84,35.99,34.78,35.15,6546458
2026-01-09,34.91,35.59,33.95,34.25,6870044
2026-01-12,35.36,35.36,34.2246,34.34,4771901
2026-01-13,34.07,36.155,34.07,35.61,8853916
2026-01-14,36.965,38.41,36.461,37.02,12722852
2026-01-15,35.185,35.65,34.72,35.31,7637188
2026-01-16,35.03,35.99,34.78,35.54,6791427
2026-01-20,40.16,42.4999,38.09,41.51,17095842
2026-01-21,38.95,39.74,35.20,35.78,12163830
2026-01-22,34.96,35.765,34.37,34.37,6410872
2026-01-23,35.10,35.54,34.065,35.41,7253018
2026-01-26,35.28,35.51,34.58,35.32,4765422
2026-01-27,35.24,36.25,34.82,36.25,4608484
2026-01-28,35.87,36.95,35.45,36.26,7369412
2026-01-29,36.96,39.91,36.55,36.66,10733301
2026-01-30,37.32,38.0801,35.88,37.23,9137866
2026-02-02,36.92,36.92,34.315,34.63,8572714
2026-02-03,34.83,39.105,34.65,36.72,13430131
2026-02-04,36.38,39.9334,36.03,37.67,15310397
2026-02-05,39.82,41.88,38.44,41.06,15047671
2026-02-06,39.22,39.4593,36.80,37.30,8150344
2026-02-09,37.06,37.39,35.20,35.32,4765867
2026-02-10,35.46,36.50,35.17,36.28,6134104
2026-02-11,35.16,37.59,35.07,36.31,8882738
2026-02-12,35.74,39.85,35.4304,39.73,13125250
2026-02-13,39.63,41.65,37.57,40.59,13565434
2026-02-17,41.00,42.5999,38.17,38.43,10369197
2026-02-18,38.65,39.3499,37.205,38.47,6833717
2026-02-19,40.01,41.18,39.55,40.03,7330923
2026-02-20,40.77,41.47,38.03,38.57,10299686
2026-02-23,38.78,41.3199,38.03,40.98,10086240
2026-02-24,40.72,41.515,38.62,38.75,6203263
2026-02-25,37.78,38.02,36.62,36.72,5973911
2026-02-26,36.34,39.545,36.34,37.44,8953641
2026-02-27,40.27,40.91,38.56,39.65,10294093
2026-03-02,43.11,43.31,39.30,40.40,11303468
2026-03-03,45.05,49.585,41.44,43.15,18140687
2026-03-04,42.41,43.02,39.77,40.69,10370832
2026-03-05,42.57,47.61,41.645,44.75,14845895
2026-03-06,50.00,54.25,48.01,54.09,13327458
2026-03-09,54.88,57.95,45.00,46.00,13917618
2026-03-10,46.66,49.80,43.03,49.80,9770497
2026-03-11,48.40,49.54,46.02,46.26,8733305
2026-03-12,49.50,51.16,48.32,50.82,6476654
2026-03-13,48.93,52.42,47.6122,52.29,6576417
2026-03-16,49.35,49.4699,46.08,46.08,7856556
2026-03-17,45.25,45.92,44.0701,45.28,5627209
2026-03-18,47.28,51.26,47.05,51.03,8097038
2026-03-19,54.59,55.50,47.245,48.98,9020003
2026-03-20,49.20,55.16,49.1062,54.10,8959660
2026-03-23,48.39,51.90,46.54,49.88,8918847
2026-03-24,52.15,52.72,48.76,51.56,6028608
2026-03-25,49.57,51.915,48.80,49.84,5149754
2026-03-26,51.57,55.39,50.4658,55.05,5441104
2026-03-27,56.68,62.18,56.27,61.65,8072058
2026-03-30,57.72,62.53,57.72,60.91,6116144
2026-03-31,56.55,58.28,51.87,52.30,8930584
2026-04-01,51.22,52.78,49.41,50.52,5272665
2026-04-02,55.22,55.92,49.93,50.53,5851146
2026-04-06,50.53,50.6312,48.1489,48.61,3604650
2026-04-07,50.17,53.87,49.9101,51.17,7350121
2026-04-08,43.40,46.25,42.4026,43.96,7279407
2026-04-09,44.15,44.33,41.01,41.13,4954887
2026-04-10,40.75,42.48,40.43,41.92,3857280
2026-04-13,42.57,42.86,39.36,39.57,5163476
2026-04-14,37.96,39.03,37.75,38.76,5482925
2026-04-15,38.19,39.44,38.02,38.95,5286019
2026-04-16,38.78,40.13,38.28,38.85,10902586
2026-04-17,37.37,38.17,36.92,38.15,8334871
2026-04-20,38.78,39.88,38.54,38.80,9627614
2026-04-21,38.73,40.95,38.6308,39.85,7042498
2026-04-22,38.37,39.86,38.36,39.36,7017064
2026-04-23,39.525,42.00,38.89,38.97,12105951
2026-04-24,38.90,39.93,38.33,39.72,9503536
2026-04-27,39.27,39.4097,37.6905,37.86,5282620
2026-04-28,38.83,38.984,36.65,36.65,8614931
2026-04-29,36.955,38.68,36.67,38.02,6208083
2026-04-30,37.425,38.26,36.28,36.49,4261935
2026-05-01,35.97,36.89,35.69,36.89,3913142
2026-05-04,36.88,38.58,35.46,37.33,6864945
2026-05-05,36.26,37.68,36.15,37.46,9292121
2026-05-06,35.99,36.61,35.74,36.37,7568335
2026-05-07,35.87,36.665,35.61,35.84,10527597
2026-05-08,35.82,36.36,35.245,36.10,6213749
2026-05-11,36.15,37.13,35.77,36.98,6066518
2026-05-12,37.29,37.80,35.32,35.74,14081397
2026-05-13,35.90,36.98,35.55,36.71,13702733
2026-05-14,36.27,36.99,35.06,35.43,10090351
2026-05-15,37.08,37.1851,35.32,35.76,19391206
2026-05-18,34.92,35.85,34.63,34.79,12952807
2026-05-19,35.12,35.55,34.56,35.28,7365103
2026-05-20,34.81,35.18,34.05,34.11,8096073
2026-05-21,34.60,34.75,32.35,32.65,9603745
2026-05-22,32.86,33.31,32.38,32.91,7446069
2026-05-26,31.69,31.7699,31.04,31.41,9200626
2026-05-27,31.16,31.65,30.3307,30.39,5655903
2026-05-28,30.61,30.69,29.33,29.49,5586524
2026-05-29,28.80,29.31,28.265,28.77,10832772
2026-06-01,29.21,29.96,28.66,29.95,9807372
2026-06-02,29.30,29.74,28.99,29.15,6245770
2026-06-03,29.40,29.75,28.95,29.08,8503563
2026-06-04,29.355,29.40,27.45,27.64,10894096
2026-06-05,28.10,31.45,27.96,30.68,17731706
2026-06-08,29.38,30.25,29.0125,29.85,7813961
2026-06-09,29.37,33.42,28.7401,30.54,11043589
2026-06-10,31.60,33.68,31.13,33.27,6937570
2026-06-11,32.81,34.12,30.40,30.81,7061231
2026-06-12,30.10,30.7401,28.64,28.73,7619459
2026-06-15,26.65,26.79,25.70,25.77,6351154
2026-06-16,25.77,26.06,25.465,25.84,4367587
2026-06-17,25.47,27.95,25.3725,27.44,9849020
2026-06-18,26.01,26.69,25.84,26.00,5613570
2026-06-22,25.265,26.04,24.68,25.86,5023755
2026-06-23,27.95,28.3774,27.0925,28.00,7425703
2026-06-24,27.60,28.4428,26.725,27.65,4859295
2026-06-25,26.205,27.72,26.13,26.97,5388920
2026-06-26,28.29,28.77,26.81,27.22,4600296
2026-06-29,26.24,27.26,25.6063,25.71,5123688
2026-06-30,25.85,25.89,24.63,24.89,4261650
2026-07-01,25.30,25.62,24.71,25.19,4847720
2026-07-02,24.80,25.68,24.2653,24.80,6571742
2026-07-06,24.10,24.17,23.66,23.79,6154674
2026-07-07,23.82,24.57,23.53,24.14,9392249
2026-07-08,24.96,25.975,24.20,24.63,9808763
2026-07-09,24.425,24.83,23.93,24.04,5145414
2026-07-10,23.77,24.69,23.105,23.18,7603519
2026-07-13,23.60,24.57,23.19,24.32,9132365
